file,codechurn
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/ClusterNodeTracker.java,423
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/MockNodes.java,132
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/TestClusterNodeTracker.java,255
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/CapacityScheduler.java,1859
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRMHAForAsyncScheduler.java,155
hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/DFSClient.java,1080
hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/client/HdfsClientConfigKeys.java,424
hadoop-hdfs-project/hadoop-hdfs/src/main/resources/hdfs-default.xml,3922
hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestFileCreation.java,266
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/security/RMDelegationTokenSecretManager.java,165
hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics2/source/JvmMetrics.java,78
hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/source/TestJvmMetrics.java,153
hadoop-common-project/hadoop-common/src/site/markdown/DownstreamDev.md,432
hadoop-project/src/site/site.xml,97
hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/DFSClientFaultInjector.java,68
hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/client/impl/LeaseRenewer.java,-8
hadoop-hdfs-project/hadoop-hdfs-client/src/test/java/org/apache/hadoop/hdfs/client/impl/TestLeaseRenewer.java,-9
hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestDFSClientRetries.java,256
hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestDistributedFileSystem.java,947
hadoop-assemblies/pom.xml,-1
hadoop-build-tools/pom.xml,126
hadoop-client-modules/hadoop-client-api/pom.xml,281
hadoop-client-modules/hadoop-client-check-invariants/pom.xml,193
hadoop-client-modules/hadoop-client-check-test-invariants/pom.xml,203
hadoop-client-modules/hadoop-client-integration-tests/pom.xml,164
hadoop-client-modules/hadoop-client-minicluster/pom.xml,870
hadoop-client-modules/hadoop-client-runtime/pom.xml,402
hadoop-client-modules/hadoop-client/pom.xml,61
hadoop-client-modules/pom.xml,45
hadoop-cloud-storage-project/hadoop-cloud-storage/pom.xml,127
hadoop-cloud-storage-project/pom.xml,53
hadoop-common-project/hadoop-annotations/pom.xml,32
hadoop-common-project/hadoop-auth-examples/pom.xml,-1
hadoop-common-project/hadoop-auth/pom.xml,49
hadoop-common-project/hadoop-common/pom.xml,513
hadoop-common-project/hadoop-kms/pom.xml,289
hadoop-common-project/hadoop-minikdc/pom.xml,65
hadoop-common-project/hadoop-nfs/pom.xml,157
hadoop-common-project/pom.xml,-1
hadoop-dist/pom.xml,44
hadoop-hdfs-project/hadoop-hdfs-client/pom.xml,176
hadoop-hdfs-project/hadoop-hdfs-httpfs/pom.xml,-178
hadoop-hdfs-project/hadoop-hdfs-native-client/pom.xml,241
hadoop-hdfs-project/hadoop-hdfs-nfs/pom.xml,222
hadoop-hdfs-project/pom.xml,-2
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/pom.xml,10
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-common/pom.xml,-34
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/pom.xml,49
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs-plugins/pom.xml,45
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs/pom.xml,33
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/pom.xml,28
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-nativetask/pom.xml,234
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-shuffle/pom.xml,44
hadoop-mapreduce-project/hadoop-mapreduce-client/pom.xml,132
hadoop-mapreduce-project/hadoop-mapreduce-examples/pom.xml,21
hadoop-mapreduce-project/pom.xml,7
hadoop-maven-plugins/pom.xml,109
hadoop-minicluster/pom.xml,-1
hadoop-project-dist/pom.xml,-11
hadoop-tools/hadoop-aliyun/pom.xml,300
hadoop-tools/hadoop-archive-logs/pom.xml,210
hadoop-tools/hadoop-archives/pom.xml,20
hadoop-tools/hadoop-aws/pom.xml,493
hadoop-tools/hadoop-azure-datalake/pom.xml,149
hadoop-tools/hadoop-azure/pom.xml,478
hadoop-tools/hadoop-datajoin/pom.xml,44
hadoop-tools/hadoop-distcp/pom.xml,18
hadoop-tools/hadoop-extras/pom.xml,36
hadoop-tools/hadoop-gridmix/pom.xml,53
hadoop-tools/hadoop-kafka/pom.xml,115
hadoop-tools/hadoop-openstack/pom.xml,141
hadoop-tools/hadoop-pipes/pom.xml,-38
hadoop-tools/hadoop-resourceestimator/pom.xml,174
hadoop-tools/hadoop-rumen/pom.xml,25
hadoop-tools/hadoop-sls/pom.xml,203
hadoop-tools/hadoop-streaming/pom.xml,59
hadoop-tools/hadoop-tools-dist/pom.xml,48
hadoop-tools/pom.xml,5
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/pom.xml,48
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-applications-distributedshell/pom.xml,79
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-applications-unmanaged-am-launcher/pom.xml,-7
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/pom.xml,6
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/pom.xml,138
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/pom.xml,229
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-registry/pom.xml,201
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/pom.xml,239
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/pom.xml,108
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/pom.xml,148
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/pom.xml,297
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/pom.xml,116
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-sharedcachemanager/pom.xml,93
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-tests/pom.xml,118
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timeline-pluginstorage/pom.xml,148
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice-hbase-tests/pom.xml,393
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice-hbase/pom.xml,191
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice/pom.xml,178
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-web-proxy/pom.xml,57
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/pom.xml,3
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-site/pom.xml,2
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-ui/pom.xml,258
hadoop-yarn-project/hadoop-yarn/pom.xml,46
hadoop-yarn-project/pom.xml,-107
pom.xml,173
