file,complexity
src/java/org/apache/hadoop/HadoopVersionAnnotation.java,0
src/java/org/apache/hadoop/conf/Configurable.java,0
src/java/org/apache/hadoop/conf/Configuration.java,185
src/java/org/apache/hadoop/conf/Configured.java,4
src/java/org/apache/hadoop/filecache/DistributedCache.java,108
src/java/org/apache/hadoop/fs/BlockLocation.java,35
src/java/org/apache/hadoop/fs/BufferedFSInputStream.java,12
src/java/org/apache/hadoop/fs/ChecksumException.java,2
src/java/org/apache/hadoop/fs/ChecksumFileSystem.java,79
src/java/org/apache/hadoop/fs/ContentSummary.java,18
src/java/org/apache/hadoop/fs/DF.java,30
src/java/org/apache/hadoop/fs/DU.java,23
src/java/org/apache/hadoop/fs/FSDataInputStream.java,9
src/java/org/apache/hadoop/fs/FSDataOutputStream.java,15
src/java/org/apache/hadoop/fs/FSError.java,1
src/java/org/apache/hadoop/fs/FSInputChecker.java,52
src/java/org/apache/hadoop/fs/FSInputStream.java,5
src/java/org/apache/hadoop/fs/FSOutputSummer.java,22
src/java/org/apache/hadoop/fs/FileChecksum.java,6
src/java/org/apache/hadoop/fs/FileStatus.java,30
src/java/org/apache/hadoop/fs/FileSystem.java,235
src/java/org/apache/hadoop/fs/FileUtil.java,128
src/java/org/apache/hadoop/fs/FilterFileSystem.java,32
src/java/org/apache/hadoop/fs/FsShell.java,379
src/java/org/apache/hadoop/fs/FsShellPermissions.java,67
src/java/org/apache/hadoop/fs/FsStatus.java,6
src/java/org/apache/hadoop/fs/FsUrlConnection.java,5
src/java/org/apache/hadoop/fs/FsUrlStreamHandler.java,3
src/java/org/apache/hadoop/fs/FsUrlStreamHandlerFactory.java,5
src/java/org/apache/hadoop/fs/GlobExpander.java,31
src/java/org/apache/hadoop/fs/HarFileSystem.java,125
src/java/org/apache/hadoop/fs/HarFileSystem.java,None
src/java/org/apache/hadoop/fs/LocalDirAllocator.java,44
src/java/org/apache/hadoop/fs/LocalFileSystem.java,16
src/java/org/apache/hadoop/fs/MD5MD5CRC32FileChecksum.java,15
src/java/org/apache/hadoop/fs/Path.java,73
src/java/org/apache/hadoop/fs/PathFilter.java,0
src/java/org/apache/hadoop/fs/PositionedReadable.java,0
src/java/org/apache/hadoop/fs/RawLocalFileSystem.java,100
src/java/org/apache/hadoop/fs/Seekable.java,0
src/java/org/apache/hadoop/fs/Syncable.java,0
src/java/org/apache/hadoop/fs/Trash.java,44
src/java/org/apache/hadoop/fs/ftp/FTPException.java,3
src/java/org/apache/hadoop/fs/ftp/FTPFileSystem.java,78
src/java/org/apache/hadoop/fs/ftp/FTPInputStream.java,22
src/java/org/apache/hadoop/fs/kfs/IFSImpl.java,0
src/java/org/apache/hadoop/fs/kfs/KFSImpl.java,27
src/java/org/apache/hadoop/fs/kfs/KFSInputStream.java,23
src/java/org/apache/hadoop/fs/kfs/KFSOutputStream.java,13
src/java/org/apache/hadoop/fs/kfs/KosmosFileSystem.java,51
src/java/org/apache/hadoop/fs/permission/AccessControlException.java,3
src/java/org/apache/hadoop/fs/permission/FsAction.java,6
src/java/org/apache/hadoop/fs/permission/FsPermission.java,41
src/java/org/apache/hadoop/fs/permission/PermissionStatus.java,13
src/java/org/apache/hadoop/fs/s3/Block.java,4
src/java/org/apache/hadoop/fs/s3/FileSystemStore.java,0
src/java/org/apache/hadoop/fs/s3/INode.java,17
src/java/org/apache/hadoop/fs/s3/Jets3tFileSystemStore.java,69
src/java/org/apache/hadoop/fs/s3/MigrationTool.java,23
src/java/org/apache/hadoop/fs/s3/S3Credentials.java,12
src/java/org/apache/hadoop/fs/s3/S3Exception.java,1
src/java/org/apache/hadoop/fs/s3/S3FileSystem.java,65
src/java/org/apache/hadoop/fs/s3/S3FileSystemException.java,1
src/java/org/apache/hadoop/fs/s3/S3InputStream.java,34
src/java/org/apache/hadoop/fs/s3/S3OutputStream.java,30
src/java/org/apache/hadoop/fs/s3/VersionMismatchException.java,2
src/java/org/apache/hadoop/fs/s3native/FileMetadata.java,5
src/java/org/apache/hadoop/fs/s3native/Jets3tNativeFileSystemStore.java,47
src/java/org/apache/hadoop/fs/s3native/NativeFileSystemStore.java,0
src/java/org/apache/hadoop/fs/s3native/NativeS3FileSystem.java,95
src/java/org/apache/hadoop/fs/s3native/PartialListing.java,4
src/java/org/apache/hadoop/fs/shell/Command.java,8
src/java/org/apache/hadoop/fs/shell/CommandFormat.java,10
src/java/org/apache/hadoop/fs/shell/CommandUtils.java,2
src/java/org/apache/hadoop/fs/shell/Count.java,6
src/java/org/apache/hadoop/http/FilterContainer.java,0
src/java/org/apache/hadoop/http/FilterInitializer.java,0
src/java/org/apache/hadoop/http/HttpServer.java,55
src/java/org/apache/hadoop/io/AbstractMapWritable.java,23
src/java/org/apache/hadoop/io/ArrayFile.java,10
src/java/org/apache/hadoop/io/ArrayWritable.java,16
src/java/org/apache/hadoop/io/BinaryComparable.java,7
src/java/org/apache/hadoop/io/BloomMapFile.java,22
src/java/org/apache/hadoop/io/BooleanWritable.java,16
src/java/org/apache/hadoop/io/ByteWritable.java,17
src/java/org/apache/hadoop/io/BytesWritable.java,26
src/java/org/apache/hadoop/io/Closeable.java,0
src/java/org/apache/hadoop/io/CompressedWritable.java,7
src/java/org/apache/hadoop/io/DataInputBuffer.java,12
src/java/org/apache/hadoop/io/DataOutputBuffer.java,14
src/java/org/apache/hadoop/io/DefaultStringifier.java,13
src/java/org/apache/hadoop/io/DeprecatedUTF8.java,5
src/java/org/apache/hadoop/io/DoubleWritable.java,17
src/java/org/apache/hadoop/io/EnumSetWritable.java,34
src/java/org/apache/hadoop/io/FloatWritable.java,17
src/java/org/apache/hadoop/io/GenericWritable.java,17
src/java/org/apache/hadoop/io/IOUtils.java,26
src/java/org/apache/hadoop/io/InputBuffer.java,10
src/java/org/apache/hadoop/io/IntWritable.java,17
src/java/org/apache/hadoop/io/LongWritable.java,19
src/java/org/apache/hadoop/io/MD5Hash.java,39
src/java/org/apache/hadoop/io/MapFile.java,94
src/java/org/apache/hadoop/io/MapWritable.java,21
src/java/org/apache/hadoop/io/MultipleIOException.java,6
src/java/org/apache/hadoop/io/NullWritable.java,11
src/java/org/apache/hadoop/io/ObjectWritable.java,57
src/java/org/apache/hadoop/io/OutputBuffer.java,11
src/java/org/apache/hadoop/io/RawComparator.java,0
src/java/org/apache/hadoop/io/SequenceFile.java,425
src/java/org/apache/hadoop/io/SetFile.java,11
src/java/org/apache/hadoop/io/SortedMapWritable.java,27
src/java/org/apache/hadoop/io/Stringifier.java,0
src/java/org/apache/hadoop/io/Text.java,98
src/java/org/apache/hadoop/io/TwoDArrayWritable.java,17
src/java/org/apache/hadoop/io/UTF8.java,48
src/java/org/apache/hadoop/io/VIntWritable.java,13
src/java/org/apache/hadoop/io/VLongWritable.java,13
src/java/org/apache/hadoop/io/VersionMismatchException.java,2
src/java/org/apache/hadoop/io/VersionedWritable.java,3
src/java/org/apache/hadoop/io/Writable.java,0
src/java/org/apache/hadoop/io/WritableComparable.java,0
src/java/org/apache/hadoop/io/WritableComparator.java,31
src/java/org/apache/hadoop/io/WritableFactories.java,7
src/java/org/apache/hadoop/io/WritableFactory.java,0
src/java/org/apache/hadoop/io/WritableName.java,8
src/java/org/apache/hadoop/io/WritableUtils.java,65
src/java/org/apache/hadoop/io/compress/BZip2Codec.java,39
src/java/org/apache/hadoop/io/compress/BlockCompressorStream.java,23
src/java/org/apache/hadoop/io/compress/BlockDecompressorStream.java,18
src/java/org/apache/hadoop/io/compress/CodecPool.java,15
src/java/org/apache/hadoop/io/compress/CompressionCodec.java,0
src/java/org/apache/hadoop/io/compress/CompressionCodecFactory.java,34
src/java/org/apache/hadoop/io/compress/CompressionInputStream.java,2
