file,codechurn
hadoop-common-project/hadoop-common/src/main/docs/releasenotes.html,13327
hadoop-yarn-project/CHANGES.txt,526
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fifo/FifoScheduler.java,796
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/MockNodes.java,237
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fifo/TestFifoScheduler.java,338
hadoop-common-project/hadoop-common/CHANGES.txt,12999
hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt,5596
hadoop-client/pom.xml,352
hadoop-mapreduce-project/CHANGES.txt,6151
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/MRConfig.java,117
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/mapreduce/v2/MiniMRYarnCluster.java,191
hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics2/MetricsFilter.java,61
hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/filter/TestPatternFilter.java,207
hadoop-assemblies/pom.xml,85
hadoop-common-project/hadoop-annotations/pom.xml,61
hadoop-common-project/hadoop-auth-examples/pom.xml,96
hadoop-common-project/hadoop-auth/pom.xml,214
hadoop-common-project/hadoop-common/pom.xml,539
hadoop-common-project/pom.xml,57
hadoop-dist/pom.xml,172
hadoop-hdfs-project/hadoop-hdfs-httpfs/pom.xml,607
hadoop-hdfs-project/hadoop-hdfs/pom.xml,614
hadoop-hdfs-project/hadoop-hdfs/src/contrib/bkjournal/pom.xml,185
hadoop-hdfs-project/pom.xml,56
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/pom.xml,151
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-common/pom.xml,87
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/pom.xml,90
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs-plugins/pom.xml,46
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs/pom.xml,73
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/pom.xml,162
hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-shuffle/pom.xml,46
hadoop-mapreduce-project/hadoop-mapreduce-client/pom.xml,199
hadoop-mapreduce-project/hadoop-mapreduce-examples/pom.xml,149
hadoop-mapreduce-project/pom.xml,308
hadoop-maven-plugins/pom.xml,76
hadoop-minicluster/pom.xml,105
hadoop-project-dist/pom.xml,425
hadoop-project/pom.xml,992
hadoop-tools/hadoop-archives/pom.xml,129
hadoop-tools/hadoop-datajoin/pom.xml,120
hadoop-tools/hadoop-distcp/pom.xml,203
hadoop-tools/hadoop-extras/pom.xml,123
hadoop-tools/hadoop-gridmix/pom.xml,131
hadoop-tools/hadoop-pipes/pom.xml,111
hadoop-tools/hadoop-rumen/pom.xml,134
hadoop-tools/hadoop-streaming/pom.xml,154
hadoop-tools/hadoop-tools-dist/pom.xml,139
hadoop-tools/pom.xml,62
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/pom.xml,72
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-applications-distributedshell/pom.xml,106
